"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
-122.25,37.85,52,1274,235,558,219,5.6431,341300,"NEAR BAY"
-122.25,37.84,52,2535,489,1094,514,3.6591,299200,"NEAR BAY"
-122.26,37.85,52,2202,434,910,402,3.2031,281500,"NEAR BAY"
-122.26,37.84,52,696,191,345,174,2.6736,191300,"NEAR BAY"
-122.27,37.85,52,1228,293,648,303,2.1202,155500,"NEAR BAY"
-122.27,37.84,52,1503,298,690,275,2.6033,162900,"NEAR BAY"
-122.27,37.84,52,2436,541,1015,478,1.725,113900,"NEAR BAY"
-122.28,37.84,50,2082,492,1131,473,1.6424,108900,"NEAR BAY"
-122.28,37.84,52,729,160,395,155,1.6875,132000,"NEAR BAY"
-122.26,37.84,52,950,202,467,198,3.9643,188800,"NEAR BAY"
-122.27,37.82,43,1868,456,1061,407,1.5045,93800,"NEAR BAY"
-122.27,37.82,52,1630,456,1162,400,1.2475,104200,"NEAR BAY"
-122.28,37.82,52,1238,288,622,259,1.5057,87500,"NEAR BAY"
-122.29,37.82,2,158,43,94,57,2.5625,60000,"NEAR BAY"
-122.29,37.81,50,760,190,377,122,0.9011,86100,"NEAR BAY"
-122.3,37.81,48,828,182,392,133,2.5938,73500,"NEAR BAY"
-122.29,37.81,46,2801,644,1823,611,0.9802,129200,"NEAR BAY"
-122.29,37.81,46,12,4,18,7,0.4999,67500,"NEAR BAY"
-122.28,37.81,17,1237,462,762,439,0.9241,177500,"NEAR BAY"
-122.28,37.81,17,924,289,609,289,1.5,162500,"NEAR BAY"
-122.28,37.81,52,773,143,377,115,2.4083,98200,"NEAR BAY"
-122.27,37.8,10,105,42,125,39,0.9722,137500,"NEAR BAY"
-122.27,37.8,16,994,392,800,362,2.0938,162500,"NEAR BAY"
-122.25,37.81,52,2155,701,895,613,2.5795,350000,"NEAR BAY"
-122.25,37.82,28,3337,855,1520,802,3.9063,225000,"NEAR BAY"
-122.2,37.83,26,1589,223,542,211,8.401,351200,"NEAR BAY"
-122.21,37.8,50,2833,605,1260,552,2.8929,216700,"NEAR BAY"
-122.21,37.81,52,1389,212,510,224,5.2402,296400,"NEAR BAY"
-122.22,37.81,52,1971,335,765,308,6.5217,273700,"NEAR BAY"
-122.22,37.81,52,2024,339,756,340,4.072,270100,"NEAR BAY"
-122.22,37.81,52,2927,402,1021,380,8.1564,390100,"NEAR BAY"
-122.23,37.81,52,2315,292,861,258,8.8793,410300,"NEAR BAY"
-122.25,37.79,50,629,188,742,196,2.6458,125000,"NEAR BAY"
-122.25,37.79,52,1339,391,1086,363,2.181,138800,"NEAR BAY"
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,"NEAR BAY"
-122.24,37.79,47,1372,395,1237,303,2.125,95500,"NEAR BAY"
-122.24,37.79,52,674,180,647,168,3.375,116100,"NEAR BAY"
-122.25,37.79,39,461,129,381,123,1.6,112500,"NEAR BAY"
-122.22,37.77,52,391,128,520,138,1.6471,95000,"NEAR BAY"
-122.23,37.79,48,1696,396,1481,343,2.0375,122500,"NEAR BAY"
-122.21,37.79,52,762,190,600,195,3.0893,125000,"NEAR BAY"
-122.22,37.79,46,2366,575,1647,527,2.6042,124700,"NEAR BAY"
-122.21,37.8,39,2003,500,1109,464,3.0682,156500,"NEAR BAY"
-122.21,37.8,39,2018,447,1221,446,3.0757,151000,"NEAR BAY"
-122.2,37.8,41,2070,354,804,340,5.1184,239600,"NEAR BAY"
-122.19,37.79,45,2718,451,1106,454,4.6563,231800,"NEAR BAY"
-122.21,37.79,45,2115,533,1530,474,2.4167,139400,"NEAR BAY"
-122.2,37.79,45,2021,528,1410,480,2.7788,115400,"NEAR BAY"
-122.21,37.78,46,2239,508,1390,569,2.7352,137300,"NEAR BAY"
-122.21,37.78,52,1056,224,792,245,2.6583,142600,"NEAR BAY"
-122.21,37.78,43,1702,460,1227,407,1.7188,126800,"NEAR BAY"
-122.22,37.78,44,1678,514,1700,495,2.0801,131900,"NEAR BAY"
-122.22,37.78,51,1637,463,1543,393,2.489,119100,"NEAR BAY"
-122.2,37.78,52,2300,443,1225,423,3.5398,158400,"NEAR BAY"
-122.2,37.78,50,1867,403,1128,378,2.5401,129100,"NEAR BAY"
-122.2,37.77,43,2430,502,1537,484,2.898,121400,"NEAR BAY"
-122.19,37.77,52,2170,428,1086,425,3.3715,143900,"NEAR BAY"
-122.19,37.78,52,2492,415,1109,375,4.3125,164400,"NEAR BAY"
-122.2,37.78,45,1766,332,869,327,4.5893,163500,"NEAR BAY"
-122.18,37.79,39,617,95,236,106,5.2578,253000,"NEAR BAY"
-122.19,37.79,50,954,217,546,201,2.6667,172800,"NEAR BAY"
-122.16,37.77,48,977,194,446,180,4.7708,156300,"NEAR BAY"
-122.16,37.77,45,2324,397,968,384,3.5739,176000,"NEAR BAY"
-122.19,37.77,41,2036,510,1412,454,2.0469,89300,"NEAR BAY"
-122.19,37.77,45,1852,393,1132,349,2.7159,101400,"NEAR BAY"
-122.19,37.75,19,2207,565,1481,520,1.3194,81400,"NEAR BAY"
-122.19,37.75,28,856,189,435,162,0.8012,81800,"NEAR BAY"
-122.18,37.74,42,541,154,380,123,2.3456,83500,"NEAR BAY"
-122.17,37.73,43,1473,371,1231,341,2.1587,86500,"NEAR BAY"
-122.17,37.74,46,1026,226,749,225,3.0298,107600,"NEAR BAY"
-122.18,37.75,45,330,76,282,80,4.0469,80700,"NEAR BAY"
-122.17,37.75,44,1218,248,763,254,2.3281,88800,"NEAR BAY"
-122.17,37.76,40,1685,343,949,342,1.8426,94800,"NEAR BAY"
-122.16,37.76,46,1827,307,881,302,4.6696,164300,"NEAR BAY"
-122.14,37.77,27,2229,365,1297,355,4.8304,279100,"NEAR BAY"
-122.12,37.75,33,1809,261,808,219,6.86,250000,"NEAR BAY"
-122.16,37.75,44,617,131,378,135,2.5568,111100,"NEAR BAY"
-122.15,37.74,43,1383,275,853,272,3.5083,122000,"NEAR BAY"
-122.16,37.75,35,667,140,406,133,3.8047,94300,"NEAR BAY"
-122.29,37.89,52,2269,380,1004,371,5.1696,261400,"NEAR BAY"
-122.28,37.88,52,1844,332,769,334,4.2614,261300,"NEAR BAY"
-122.27,37.9,52,1803,240,572,236,6.174,358800,"NEAR BAY"
-122.28,37.9,52,2261,328,819,335,4.9083,346800,"NEAR BAY"
-122.28,37.89,52,2070,329,722,306,5.4171,292000,"NEAR BAY"
-122.27,37.89,52,2640,366,973,355,7.266,371100,"NEAR BAY"
-122.26,37.9,37,2220,335,903,362,7.8336,371300,"NEAR BAY"
-122.25,37.89,42,2863,460,1031,448,6.7138,368600,"NEAR BAY"
-122.3,37.88,45,453,146,749,137,1.475,187500,"NEAR BAY"
-122.27,37.88,37,2619,682,1152,616,2.52,277800,"NEAR BAY"
-122.25,37.87,42,1756,465,2184,422,2.5562,371400,"NEAR BAY"
-122.26,37.87,52,1087,371,3337,350,1.4012,175000,"NEAR BAY"
-122.26,37.87,52,2773,998,1721,949,1.1859,241700,"NEAR BAY"
-122.27,37.87,49,1350,368,707,350,2.8846,211300,"NEAR BAY"
-122.28,37.86,52,938,195,393,189,3.8594,196400,"NEAR BAY"
-122.28,37.87,52,1233,300,571,292,2.2788,182300,"NEAR BAY"
-122.27,37.86,49,2052,435,924,414,2.5417,182700,"NEAR BAY"
-122.27,37.86,52,2307,583,1127,548,1.8447,198200,"NEAR BAY"
-122.26,37.86,52,3774,744,1461,679,2.9405,289500,"NEAR BAY"
-122.24,37.86,52,1668,225,517,214,7.8521,500001,"NEAR BAY"
-122.25,37.82,52,2474,403,1104,398,5.883,340700,"NEAR BAY"
-122.23,37.76,52,2269,323,805,321,4.7188,335300,"NEAR BAY"
-122.25,37.77,52,859,157,429,158,4.3098,197900,"NEAR BAY"
-122.28,37.77,52,1468,363,870,347,2.9688,220800,"NEAR BAY"
-122.26,37.77,52,1670,350,793,299,2.9732,282100,"NEAR BAY"
-122.26,37.77,52,1848,479,921,477,2.875,234000,"NEAR BAY"
-122.25,37.77,43,4329,1110,2086,1053,2.975,243400,"NEAR BAY"
-122.23,37.76,52,3011,542,1303,535,5.1039,273800,"NEAR BAY"
-122.24,37.76,52,1846,471,827,446,2.6833,240900,"NEAR BAY"
-122.24,37.76,49,2428,525,1110,492,3.6719,229800,"NEAR BAY"
-122.27,37.73,31,5785,1379,2973,1312,3.2689,231000,"NEAR BAY"
-122.25,37.76,52,2876,648,1340,632,3.567,252900,"NEAR BAY"
-122.07,37.71,36,2879,480,1235,455,4.9801,241500,"NEAR BAY"
-122.11,37.71,36,4569,824,1950,819,4.65,206800,"NEAR BAY"
-122.09,37.7,31,2053,336,867,329,4.3375,241800,"NEAR BAY"
-122.1,37.71,27,6740,1073,2723,1035,5.2131,252500,"NEAR BAY"
-122.08,37.71,38,3716,657,1784,652,4.8237,220900,"NEAR BAY"
-122.07,37.7,32,3400,736,1487,694,3,223200,"NEAR BAY"
-122.07,37.69,29,2304,618,1021,552,2.5362,203800,"NEAR BAY"
-122.08,37.69,36,2350,499,1105,467,3.3021,195700,"NEAR BAY"
-122.14,37.73,51,2619,403,922,393,4.6042,251900,"NEAR BAY"
-122.17,37.73,46,2163,470,925,435,3.25,177500,"NEAR BAY"
-122.16,37.73,49,1699,408,768,385,2.8301,171600,"NEAR BAY"
-122.17,37.72,43,3783,814,2139,789,4.0202,166300,"NEAR BAY"
-122.16,37.71,37,1507,242,632,253,4.5553,191000,"NEAR BAY"
-122.13,37.73,33,1996,268,686,270,6.9096,341800,"NEAR BAY"
-122.13,37.72,35,2183,383,976,392,3.8393,243500,"NEAR BAY"
-122.12,37.71,35,1037,207,552,210,4,167900,"NEAR BAY"
-122.13,37.72,45,2315,451,1006,444,3.524,186200,"NEAR BAY"
-122.14,37.7,36,1266,228,606,239,3.9702,194100,"NEAR BAY"
-122.17,37.7,24,1755,365,952,362,4,202600,"NEAR BAY"
-122.17,37.69,24,2262,391,1125,366,4.7609,212600,"NEAR BAY"
-122.18,37.68,5,2087,407,840,401,5.4858,187800,"NEAR BAY"
-122.15,37.69,36,1545,273,863,267,4.0109,192900,"NEAR BAY"
-122.12,37.7,41,3495,787,1849,750,2.679,144900,"NEAR BAY"
-122.12,37.7,17,2488,617,1287,538,2.9922,179900,"NEAR BAY"
-122.1,37.69,41,746,NA,387,161,3.9063,178400,"NEAR BAY"
-122.11,37.69,37,2444,651,1562,618,2.6464,155200,"NEAR BAY"
-121.97,37.64,32,1283,194,485,171,6.0574,431000,"<1H OCEAN"
-122.04,37.63,21,1307,236,586,249,4.7813,241900,"NEAR BAY"
-122.06,37.68,30,5367,1207,2667,1047,3.1796,170300,"NEAR BAY"
-122.08,37.67,29,493,168,233,152,0.9637,160000,"NEAR BAY"
-122.09,37.68,41,1382,353,704,314,3.5114,197500,"NEAR BAY"
-122.09,37.68,43,1415,348,569,293,2.5156,190900,"NEAR BAY"
-122.1,37.68,37,1352,342,691,324,3.4032,196900,"NEAR BAY"
-122.1,37.68,37,2116,503,1109,448,2.535,174000,"NEAR BAY"
-122.1,37.67,34,3659,897,2479,903,2.9564,150500,"NEAR BAY"
-122.13,37.68,44,2147,399,1175,401,4.1974,179300,"NEAR BAY"
-122.14,37.68,35,2976,518,1424,538,4.267,210300,"NEAR BAY"
-122.14,37.67,34,3036,533,1366,500,4.2386,192300,"NEAR BAY"
-122.06,37.67,22,3882,816,1830,743,4.2733,180700,"NEAR BAY"
-122.07,37.66,21,5031,1168,2461,1042,3.875,179300,"NEAR BAY"
-122.08,37.66,33,1547,372,1063,356,2.5625,154300,"NEAR BAY"
-122.08,37.65,35,1813,393,1093,374,3.6818,165400,"NEAR BAY"
-122.11,37.66,36,1755,316,913,299,4.1302,172700,"NEAR BAY"
-122.1,37.65,36,410,76,252,82,4.5303,175000,"NEAR BAY"
-122.1,37.63,18,9963,2031,5613,1946,3.8171,187200,"NEAR BAY"
-122.13,37.66,19,862,167,407,183,4.3456,163000,"NEAR BAY"
-122.11,37.65,18,4335,808,2041,734,3.4861,331600,"NEAR BAY"
-122.09,37.64,32,1578,284,836,292,3.9063,184200,"NEAR BAY"
-122.09,37.64,36,1885,307,853,271,4.1141,173100,"NEAR BAY"
-122.08,37.64,30,5267,1253,4065,1113,3.3479,182100,"NEAR BAY"
-122.08,37.64,23,1897,440,1109,418,3.142,179500,"NEAR BAY"
-122.08,37.64,36,786,133,463,160,3.9338,182700,"NEAR BAY"
-122.04,37.63,33,952,172,369,159,3.2331,226700,"NEAR BAY"
-122.04,37.62,32,1540,324,793,302,3.2857,193200,"NEAR BAY"
-122.03,37.62,35,1298,236,632,204,3.8929,209500,"NEAR BAY"
-122.09,37.63,36,1570,274,992,249,5.3644,168800,"NEAR BAY"
-122.02,37.6,31,2155,522,1858,437,2.652,159800,"NEAR BAY"
-122.02,37.6,32,1295,280,1156,300,3.5,154300,"NEAR BAY"
-122.03,37.61,33,1518,302,831,268,5.097,188600,"NEAR BAY"
-122.06,37.6,22,3009,497,1640,514,4.625,235300,"NEAR BAY"
-122.07,37.59,13,2578,551,1680,528,4.825,222000,"NEAR BAY"
-122.08,37.58,15,2576,418,1657,410,5.5218,254400,"NEAR BAY"
-121.97,37.57,21,4342,783,2172,789,4.6146,247600,"<1H OCEAN"
-122.04,37.57,12,5719,1064,3436,1057,5.2879,231200,"NEAR BAY"
-122.06,37.58,15,8112,1376,4576,1348,5.6758,253400,"NEAR BAY"
-122.01,37.56,24,2563,485,1174,501,3.8179,216100,"NEAR BAY"
-121.93,37.54,25,1354,192,596,220,6.629,352400,"<1H OCEAN"
-121.94,37.54,27,3715,526,1631,538,6.2179,305300,"<1H OCEAN"
-121.96,37.53,28,2949,529,1538,545,4.9615,228000,"<1H OCEAN"
-121.96,37.53,18,2375,652,1252,586,2.6198,235900,"<1H OCEAN"
-121.97,37.54,28,2312,496,1344,467,4.7135,203200,"<1H OCEAN"
-121.92,37.53,7,28258,3864,12203,3701,8.4045,451100,"<1H OCEAN"
-121.89,37.49,9,4909,577,1981,591,9.7194,500001,"<1H OCEAN"
-122.05,37.54,25,4209,731,2568,703,5.2882,223100,"NEAR BAY"
-122.04,37.5,17,407,97,307,100,3.1696,156300,"NEAR BAY"
-122.06,37.54,20,6483,1068,3526,1060,5.0838,248200,"NEAR BAY"
-122.03,37.53,18,1746,437,1268,404,3.256,183300,"NEAR BAY"
-122,37.51,7,6352,1390,3223,1316,4.9867,181700,"<1H OCEAN"
-121.93,37.72,26,3816,637,1935,642,4.4697,221300,"<1H OCEAN"
-121.93,37.66,24,3166,424,1081,400,8.3337,500001,"<1H OCEAN"
-121.91,37.68,20,1804,254,831,260,6.177,262900,"<1H OCEAN"
-121.9,37.67,15,2130,273,876,285,7.2639,332400,"<1H OCEAN"
-121.9,37.67,7,9540,1294,3926,1229,7.4353,389800,"<1H OCEAN"
-121.87,37.66,52,775,134,315,123,5.0677,233300,"INLAND"
-121.89,37.66,3,1565,464,769,461,2.1187,231300,"INLAND"
-121.85,37.66,14,4236,701,1833,663,5.6399,300600,"INLAND"
-121.87,37.66,27,1569,242,583,214,5.7519,278500,"INLAND"
-121.82,37.73,47,127,23,51,21,4.3472,375000,"INLAND"
-121.61,37.77,32,404,74,144,58,4.2083,125000,"INLAND"
-121.8,37.7,22,5533,943,2474,910,4.7361,216800,"INLAND"
-121.76,37.69,29,3433,711,1919,709,3.3841,184400,"INLAND"
-121.76,37.7,9,3980,736,1705,679,5.7068,256700,"INLAND"
-121.73,37.68,17,20354,3493,8768,3293,5.4496,238900,"INLAND"
-121.76,37.68,52,2157,418,929,419,3.7301,204400,"INLAND"
-121.79,37.67,26,2163,339,947,346,6.0797,211000,"INLAND"
-121.79,37.66,22,14701,2210,6693,2232,5.98,245000,"INLAND"
-120.56,38.48,14,3545,702,946,411,3.4609,120900,"INLAND"
-120.55,38.45,17,2277,474,767,356,2.5208,99100,"INLAND"
-120.55,38.43,18,1564,357,618,277,2.3549,108900,"INLAND"
-120.79,38.54,34,1133,254,495,187,2.05,68900,"INLAND"
-120.98,38.34,27,3471,653,1793,600,3.5508,99100,"INLAND"
-120.77,38.38,15,4221,816,1737,743,2.3125,128600,"INLAND"
-120.69,38.36,19,3267,614,1252,566,2.7236,109900,"INLAND"
-120.8,38.31,37,1341,256,533,242,3.2135,123600,"INLAND"
-121.89,39.76,15,10265,1860,4591,1906,3.07,142600,"INLAND"
-121.85,39.73,17,3425,827,2469,758,0.9393,88900,"INLAND"
-121.84,39.75,29,4362,1053,2053,1000,1.7284,74500,"INLAND"
-121.8,39.75,11,7212,1355,3264,1264,3.1125,122600,"INLAND"
-121.78,39.71,8,140,28,84,29,2.125,179200,"INLAND"
-121.84,39.72,52,1457,389,802,342,0.9566,69000,"INLAND"
-121.97,39.79,16,1453,299,904,286,3.5735,89600,"INLAND"
-121.8,39.64,25,2202,422,1109,403,2.8306,87500,"INLAND"
-121.9,39.59,20,1465,278,745,250,3.0625,93800,"INLAND"
-121.75,39.88,16,2867,559,1203,449,2.7143,95300,"INLAND"
-121.51,39.97,22,1468,285,611,235,2.3036,73000,"INLAND"
-121.58,39.83,16,4591,904,1904,812,2.2419,93200,"INLAND"
-121.59,39.78,18,945,205,385,207,2.1838,58000,"INLAND"
-121.57,39.8,23,790,137,365,152,2.1912,115200,"INLAND"
-121.58,39.79,19,2636,523,1184,465,2.7863,108600,"INLAND"
-121.6,39.77,23,2263,497,1138,455,2.3403,87300,"INLAND"
-121.62,39.76,14,2063,559,934,529,1.7788,85800,"INLAND"
-121.63,39.75,37,1296,296,569,257,1.8616,70500,"INLAND"
-121.6,39.75,19,2888,591,984,499,1.9766,92600,"INLAND"
-121.56,39.52,26,1957,429,945,397,1.7308,53600,"INLAND"
-121.53,39.52,30,1030,161,448,159,2.4821,73800,"INLAND"
-121.55,39.51,39,1551,353,684,310,2.0357,57600,"INLAND"
-121.56,39.51,47,1064,245,603,190,1.3654,57900,"INLAND"
-121.58,39.52,25,2409,490,1384,479,1.9956,58000,"INLAND"
-121.58,39.5,29,1947,383,925,337,2.1658,57600,"INLAND"
-121.52,39.5,33,1462,241,569,231,3.2833,82600,"INLAND"
-121.52,39.48,21,2628,494,1364,468,2.0455,59400,"INLAND"
