"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
-118.2,34.03,52,1754,452,1849,445,2.3716,122800,"<1H OCEAN"
-118.34,33.99,46,1217,322,662,305,3.1731,140300,"<1H OCEAN"
-122.39,38,33,44,6,23,11,4.125,212500,"NEAR BAY"
-119.01,35.37,35,120,35,477,41,1.9125,47500,"INLAND"
-118.63,34.18,33,5252,760,2041,730,6.7977,389700,"<1H OCEAN"
-117.72,33.49,4,3623,734,1129,530,5.7281,500001,"<1H OCEAN"
-120.6,35.6,13,4461,764,1795,640,4.475,206900,"<1H OCEAN"
-119.74,34.45,29,2526,388,1092,409,6.0597,383100,"<1H OCEAN"
-118.22,33.89,36,873,240,1086,217,2.25,126600,"<1H OCEAN"
-121.85,37.36,15,3148,1116,3556,1037,3.0466,159600,"<1H OCEAN"
-120.09,39.4,17,1076,283,171,64,2.125,83900,"INLAND"
-119.21,36.1,30,1471,373,1418,357,1.7432,42500,"INLAND"
-117.83,33.81,28,1972,315,970,326,5.4298,234200,"<1H OCEAN"
-122.08,37.39,44,1498,430,848,400,2.8438,307100,"NEAR BAY"
-118.19,33.8,41,2125,591,1604,555,2.9943,190600,"NEAR OCEAN"
-121.41,38.57,16,4429,1124,1538,960,3.2443,190700,"INLAND"
-118.13,33.96,36,1933,341,958,335,4.4732,266000,"<1H OCEAN"
-119.21,34.19,15,5614,989,2754,994,5.035,242900,"NEAR OCEAN"
-121.97,37.52,23,4925,948,2530,894,5.0824,230900,"<1H OCEAN"
-121.95,37.21,20,2345,322,890,276,10.0187,500001,"<1H OCEAN"
-121.92,38.34,2,7747,1133,3481,1083,6.1112,181000,"INLAND"
-121.67,40.89,17,2548,537,1118,461,2.267,57800,"INLAND"
-121.23,37.96,37,2351,564,1591,549,1.6563,57200,"INLAND"
-118.31,34.19,27,4713,1169,2372,1077,3.7015,287900,"<1H OCEAN"
-117.1,33,5,15502,2613,7417,2358,5.9094,261100,"<1H OCEAN"
-121.3,38.63,31,1817,372,992,339,3.0972,150000,"INLAND"
-121.92,36.62,47,1811,401,948,375,3.0379,249300,"NEAR OCEAN"
-124.16,40.79,52,2148,421,975,430,2.2566,92700,"NEAR OCEAN"
-121.33,38.01,36,1383,207,531,203,5.9191,151900,"INLAND"
-123.1,39.15,32,1143,208,454,188,3.8333,116100,"<1H OCEAN"
-117.06,32.79,17,2524,332,771,317,8.7604,331800,"<1H OCEAN"
-117.29,34.15,49,1820,321,757,324,3.2976,102600,"INLAND"
-122.68,38.4,32,2826,627,1767,628,3.1047,141400,"<1H OCEAN"
-118.29,33.99,46,2198,530,2067,497,2.0542,103400,"<1H OCEAN"
-118.44,34,22,5822,1707,3335,1585,3.1579,243100,"<1H OCEAN"
-117.34,33.98,10,17286,4952,9851,4616,1.7579,103400,"INLAND"
-117.97,34.01,33,2006,381,1410,346,3.7083,165500,"<1H OCEAN"
-117.94,33.68,26,4183,539,1504,520,7.4056,374200,"<1H OCEAN"
-122.27,38.32,31,1267,319,545,297,1.9946,206800,"NEAR BAY"
-117.61,34.12,17,6709,1198,3954,1161,4.6997,156900,"INLAND"
-118.18,33.81,27,471,132,315,96,1.75,154200,"NEAR OCEAN"
-120.69,37.77,46,431,86,239,80,3.3182,282100,"INLAND"
-118.29,33.99,43,1902,398,1153,363,1.9375,112900,"<1H OCEAN"
-118.32,34.09,34,1478,675,1976,653,2.0557,225000,"<1H OCEAN"
-118.62,34.26,15,10860,1653,4178,1581,6.3249,262100,"<1H OCEAN"
-117.96,33.76,22,2520,556,2126,527,3.7734,193900,"<1H OCEAN"
-118.38,34.17,30,2016,622,1359,557,2.7708,192300,"<1H OCEAN"
-120.87,39.15,17,1819,389,736,283,2.8603,128900,"INLAND"
-123.02,38.81,35,956,213,488,215,3.025,140600,"<1H OCEAN"
-122.46,37.59,21,12902,2118,6160,2082,5.7653,325800,"NEAR OCEAN"
-122.42,37.71,44,2080,489,1781,478,3.6827,215300,"NEAR BAY"
-122.27,37.85,50,1279,300,675,255,1.9028,150800,"NEAR BAY"
-117.14,32.72,43,1073,344,660,279,2.0529,168800,"NEAR OCEAN"
-121.49,38.51,18,700,169,260,128,2.9219,152900,"INLAND"
-121.24,37.94,5,2232,488,1857,435,2.8705,113600,"INLAND"
-118.19,34.02,44,2702,770,3260,721,2.3575,144800,"<1H OCEAN"
-118.36,33.9,39,1166,222,640,206,3.5313,230400,"<1H OCEAN"
-117.9,34.01,27,2383,472,2079,494,3.9702,141400,"<1H OCEAN"
-120.57,34.96,27,1401,294,1306,286,2.5809,83200,"NEAR OCEAN"
