"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
-116.24,33.73,14,2774,566,1530,505,3.0682,104100,"INLAND"
-121.77,37.24,12,10236,1878,5674,1816,4.747,261100,"<1H OCEAN"
-118.63,34.11,35,3795,690,1521,653,5.8735,448100,"<1H OCEAN"
-118.35,34.22,19,9259,1653,3963,1595,5.997,228700,"<1H OCEAN"
-117.13,32.98,5,2276,311,1158,317,6.4321,271900,"<1H OCEAN"
-117.65,34.07,35,2501,651,1182,591,1.4464,113200,"INLAND"
-118.31,33.93,37,1282,244,852,249,4.2917,127900,"<1H OCEAN"
-117.89,33.66,33,3595,785,1621,732,4.1372,265200,"<1H OCEAN"
-117.93,33.77,36,3157,582,1842,561,4.5833,190700,"<1H OCEAN"
-121.32,38.66,26,1149,193,500,194,5.078,163400,"INLAND"
-121.32,36.43,22,2927,637,2546,618,2.7153,114300,"<1H OCEAN"
-117.19,33.9,3,21060,3366,9623,2812,4.189,143000,"INLAND"
-122.27,37.88,52,3360,648,1232,621,4.2813,284900,"NEAR BAY"
-121.16,39.18,14,1006,187,462,185,3.1042,152000,"INLAND"
-121.92,37.32,31,1902,554,1485,494,2.4207,165600,"<1H OCEAN"
-122.26,37.82,37,3633,1085,1838,980,2.6104,193100,"NEAR BAY"
-117.41,33.94,29,3181,714,1603,706,3.25,112500,"INLAND"
-121.76,36.92,36,2096,409,1454,394,3.2216,238300,"<1H OCEAN"
-116.47,33.78,27,1781,441,759,340,3.3162,113600,"INLAND"
-118.47,33.99,52,1523,447,636,408,3.0682,412500,"<1H OCEAN"
-118.2,33.96,43,1233,306,1190,282,2.8371,161300,"<1H OCEAN"
-116.94,33.73,17,5160,851,2344,781,3.7175,120000,"INLAND"
-117.22,33.9,8,8302,1461,5155,1370,4.0467,121500,"INLAND"
-117.9,34.13,25,3076,856,2868,752,2.6619,117600,"<1H OCEAN"
-121.22,38.43,20,2054,339,934,336,4.5368,219300,"INLAND"
-120.43,34.95,50,1966,413,985,403,2.3506,136100,"<1H OCEAN"
-119.77,36.3,24,2202,471,1052,439,2.1038,62000,"INLAND"
-122.56,37.97,52,1833,324,735,306,4.6944,398900,"NEAR BAY"
-118.49,34.04,31,4066,951,1532,868,4.8125,500001,"<1H OCEAN"
-119.78,36.76,47,1425,323,949,325,1.7344,51300,"INLAND"
-118.25,33.79,34,1349,371,1716,380,2.7143,138100,"NEAR OCEAN"
-120.46,36.87,20,1287,310,954,269,1.3386,63000,"INLAND"
-119.39,36.55,30,1669,314,837,325,3.3869,80400,"INLAND"
-117.11,32.76,31,2293,549,1108,557,3.3854,204400,"NEAR OCEAN"
-118.46,34.23,20,4609,1499,5349,1377,2.7121,169400,"<1H OCEAN"
-118.37,33.97,26,6672,1729,3333,1557,2.9646,179800,"<1H OCEAN"
-121.94,38.03,27,1654,478,1141,420,1.4871,87100,"INLAND"
-117.81,33.64,4,1741,225,811,233,12.3411,500001,"<1H OCEAN"
-122.02,37.3,32,2134,328,903,322,6.359,341900,"<1H OCEAN"
-119.78,36.76,50,1343,322,1063,342,1.75,49800,"INLAND"
-117.75,34.07,52,2550,586,1246,576,1.6006,146200,"INLAND"
-119.33,36.31,15,1472,228,892,257,5.3909,113000,"INLAND"
-118.02,34.02,21,5992,986,2647,969,5.2405,302400,"<1H OCEAN"
-118.75,34.27,25,3371,502,1717,506,6.1253,225000,"<1H OCEAN"
-123.38,41.8,25,1941,477,1000,390,2.2976,54400,"INLAND"
-121.83,37.25,17,2332,637,1636,623,3.1932,123400,"<1H OCEAN"
-118.16,33.78,29,3684,1301,3891,1143,1.6955,179700,"NEAR OCEAN"
-122.82,38.39,32,1437,257,752,245,4.7422,240900,"<1H OCEAN"
-119.09,35.41,12,3449,522,1754,551,5.6235,130600,"INLAND"
-121.55,39.44,31,1434,283,811,289,1.7727,49000,"INLAND"
-122.09,37.86,27,5484,760,2212,770,7.6202,402600,"NEAR BAY"
-118.21,33.8,44,1387,280,984,302,4.25,143100,"NEAR OCEAN"
-116.98,32.77,29,3558,447,1097,445,8.093,379600,"<1H OCEAN"
-118.15,34.17,46,2553,558,1740,492,2.0278,127500,"<1H OCEAN"
-121.35,38.68,18,7923,1558,3789,1473,3.5403,98600,"INLAND"
-118.34,33.98,45,1298,294,1064,268,3.7067,136600,"<1H OCEAN"
-118.2,34.04,47,1894,408,1629,379,3.7619,127600,"<1H OCEAN"
-121.93,36.63,41,1049,198,428,183,4.3571,287500,"NEAR OCEAN"
-121.81,38.84,37,352,65,238,67,2.8542,275000,"INLAND"
-120.72,38.24,32,2685,543,1061,492,2.5473,101600,"INLAND"
-121.62,36.74,30,1337,253,838,247,5.0374,165400,"<1H OCEAN"
-117.96,34,34,2777,540,1954,522,4.5163,183800,"<1H OCEAN"
-118.25,33.8,36,1697,394,1274,396,3.35,163100,"<1H OCEAN"
-122.08,37.92,26,1733,265,796,274,6.195,264900,"NEAR BAY"
-118.31,34.01,48,2544,532,1357,498,2.5263,121000,"<1H OCEAN"
-122.03,37.62,35,2072,352,1001,350,4.7109,198700,"NEAR BAY"
-122.69,38.35,16,1689,254,921,270,4.4444,191800,"<1H OCEAN"
-119.78,36.84,7,4907,1075,2014,909,3.2147,111900,"INLAND"
-122.52,38.99,16,975,219,337,155,1.6607,77800,"INLAND"
-117.99,34.12,35,1040,231,1040,242,2.5395,139200,"INLAND"
-119.74,36.77,30,2427,482,1375,518,2.5737,76900,"INLAND"
-119.58,36.1,21,1382,327,1469,355,1.3967,46500,"INLAND"
-118.09,33.92,31,1983,419,1157,390,3.5455,168300,"<1H OCEAN"
-118.36,33.86,35,2126,434,1044,433,5.5456,297400,"<1H OCEAN"
-118.2,33.99,35,1705,523,2252,508,2.3421,154200,"<1H OCEAN"
-118.38,34.05,35,3517,879,1632,784,3.0956,500001,"<1H OCEAN"
-118.31,33.93,35,1580,266,926,282,5.0653,158000,"<1H OCEAN"
-118.18,34.11,33,1523,391,753,298,2.6591,183800,"<1H OCEAN"
-118.38,34.03,36,2101,569,1756,527,2.9344,222100,"<1H OCEAN"
-119.57,36.09,6,2015,413,992,319,2.3889,53200,"INLAND"
-122.86,38.62,35,2597,522,1231,499,2.7432,174000,"<1H OCEAN"
-118.23,34.12,28,1546,465,974,408,2.2843,183800,"<1H OCEAN"
-119.85,36.82,15,1387,236,638,195,5.5842,88900,"INLAND"
-121.3,38.59,25,3002,718,1660,613,2.1116,89600,"INLAND"
-117.04,32.7,7,9311,1703,7302,1694,4.419,156900,"NEAR OCEAN"
-117.4,33.76,8,1954,330,973,321,4.4875,249100,"INLAND"
-122.72,40.17,16,396,78,188,72,1.3889,87500,"INLAND"
-121.44,38.61,33,1591,466,1000,418,1.0467,70100,"INLAND"
-118.44,34.03,25,2059,659,1349,588,3.2396,352400,"<1H OCEAN"
-121.42,38.6,35,1166,193,574,190,2.2452,102800,"INLAND"
-118.45,34.17,21,2152,527,996,470,3.2386,277300,"<1H OCEAN"
-118.49,34.07,36,2929,366,1054,352,13.5728,500001,"<1H OCEAN"
-121.45,38.51,29,4221,901,2294,850,2.2245,75900,"INLAND"
-118.31,33.95,44,2490,430,1305,411,4.8295,149600,"<1H OCEAN"
-121.75,36.76,32,1740,399,1563,389,2.7694,132400,"<1H OCEAN"
-118.11,34.68,6,7430,1184,3489,1115,5.3267,140100,"INLAND"
-118.36,34.18,31,1109,354,1119,334,2.3056,2e+05,"<1H OCEAN"
-118.36,34.05,45,2283,NA,1093,475,2.5658,252000,"<1H OCEAN"
-122.52,37.97,33,563,194,265,169,2.75,231300,"NEAR BAY"
-116.95,33.86,1,6,2,8,2,1.625,55000,"INLAND"
-121.35,38.66,24,3313,769,1631,681,2.5556,105700,"INLAND"
-117.6,33.91,15,1864,271,1006,288,7.2379,251000,"INLAND"
-119.73,36.8,15,2376,538,1197,510,3.1417,74600,"INLAND"
-118.28,34,42,1534,417,1295,380,2.0938,119200,"<1H OCEAN"
-119.71,34.43,48,2408,536,1005,497,3.5213,458600,"<1H OCEAN"
-121.64,39.12,13,6408,1087,3294,1106,4.2656,110700,"INLAND"
-121.88,37.25,24,968,240,631,250,2.8636,240300,"<1H OCEAN"
-121.89,37.3,46,2639,448,938,424,5.0662,331600,"<1H OCEAN"
